case,element,region_group,time_s,anzahl_punkte,t_mean,t_flaechen_summe,kontaktflaeche_summe,q_summe,q_dot_avg_mean,t_flaechengewichtet
Case1,Element1,bottom_surface,10.0,30389,0.0003198638470582272,1.628897477381149e-05,0.047839565705118915,-4.823782870673199e-06,-0.00023010542624512273,0.00034049169413903234
Case1,Element1,bottom_surface,13.0,30389,0.0003879705071893801,1.9750454893428856e-05,0.047839565705118915,8.607426686892737e-06,-2.0304089217346917e-05,0.0004128477046629109
Case1,Element1,bottom_surface,17.0,30389,0.00047624545183276996,2.423119750837797e-05,0.047839565705118915,3.4628553214108964e-05,0.00040820842875833864,0.0005065095627694044
Case1,Element1,bottom_surface,22.0,30389,0.0005860593310311234,2.979394624981151e-05,0.047839565705118915,7.77901550555592e-05,0.0011378053020403452,0.000622788811116308
Case1,Element1,bottom_surface,28.0,30389,0.0007187179320030886,3.650070926584642e-05,0.047839565705118915,0.00013620760164429767,0.0021325197668377784,0.0007629816184125765
Case1,Element1,bottom_surface,36.0,30389,0.0008977807595781827,4.553134659001103e-05,0.047839565705118915,0.000218830244457161,0.0035414936002002993,0.0009517508346681981
Case1,Element1,bottom_surface,47.0,30389,0.0011481554952707238,5.811954564419865e-05,0.047839565705118915,0.00033407845628000143,0.005502552678884665,0.001214884474546552
Case1,Element1,bottom_surface,61.0,30389,0.0014729733744461616,7.439224103854518e-05,0.047839565705118915,0.00047899782050660807,0.007957759472891016,0.0015550358775641034
Case1,Element1,bottom_surface,79.0,30389,0.0018996085094663765,9.56765792694928e-05,0.047839565705118915,0.0006607781527758907,0.01101912552686895,0.0019999466520921037
Case1,Element1,bottom_surface,102.0,30389,0.0024576857766905732,0.00012338500241609122,0.047839565705118915,0.000886044755442129,0.014785992604611109,0.0025791413571066095
Case1,Element1,bottom_surface,133.0,30389,0.0032303499477411408,0.00016153290144619992,0.047839565705118915,0.0011787409684458708,0.019642038494646758,0.003376554512260458
Case1,Element1,bottom_surface,172.0,30389,0.004230508513721321,0.00021062636815542574,0.047839565705118915,0.0015319218424130903,0.02545780423237902,0.004402765055471404
Case1,Element1,bottom_surface,222.0,30389,0.005552281330931852,0.00027513650450707874,0.047839565705118915,0.0019623075036471274,0.03249258082060887,0.005751233324378584
Case1,Element1,bottom_surface,288.0,30389,0.007354786721262447,0.00036264623117515015,0.047839565705118915,0.0024938001571775882,0.041101447399304866,0.007580466624853711
Case1,Element1,bottom_surface,373.0,30389,0.009755476406289017,0.0004786967986403773,0.047839565705118915,0.0031204938643059664,0.051113175986928897,0.010006294822805132
Case1,Element1,bottom_surface,483.0,30389,0.012971181011579397,0.0006336538440511436,0.047839565705118915,0.003840449000899889,0.06234490311268205,0.01324539290253928
Case1,Element1,bottom_surface,625.0,30389,0.01727091738928596,0.0008404150244741218,0.047839565705118915,0.004631948390337094,0.07418482753923698,0.01756736316659739
Case1,Element1,bottom_surface,810.0,30389,0.023035527152805525,0.0011173084560880378,0.047839565705118915,0.0055038661246573535,0.08650607284926361,0.02335532188931397
Case1,Element1,bottom_surface,1048.0,30389,0.030747725782476604,0.0014874386446518941,0.047839565705118915,0.006330877340610108,0.09657678211651818,0.031092227170714797
Case1,Element1,bottom_surface,1358.0,30389,0.0411333492449609,0.0019856771429795383,0.047839565705118915,0.007078244696186685,0.10323719682397074,0.04150700604640036
Case1,Element1,bottom_surface,1758.0,30389,0.05500481903665079,0.0026509656947172884,0.047839565705118915,0.0076123262489175,0.10350924830799393,0.055413665564142664
Case1,Element1,bottom_surface,2276.0,30389,0.07350335700409175,0.0035380048982154902,0.047839565705118915,0.007842858694776961,0.0951640611073581,0.07395562326011913
Case1,Element1,bottom_surface,2948.0,30389,0.09803368471229555,0.004714107124104371,0.047839565705118915,0.007665335668358016,0.0757414873511204,0.09853992306623205
Case1,Element1,bottom_surface,3817.0,30389,0.12999768501940276,0.00624646815376728,0.047839565705118915,0.007032338417267453,0.043940384886040997,0.13057117182606232
Case1,Element1,bottom_surface,4943.0,30389,0.17088018927368162,0.00820627019621295,0.047839565705118915,0.005912747755809488,-0.0011999982444724996,0.17153730547630924
Case1,Element1,bottom_surface,6401.0,30389,0.22163438634669683,0.010639202240734663,0.047839565705118915,0.004338699391389474,-0.059091029525376426,0.22239337008856355
Case1,Element1,bottom_surface,8289.0,30389,0.2823356480144516,0.013548791217466254,0.047839565705118915,0.0024110564749636023,-0.12706361095769597,0.28321308978807286
Case1,Element1,bottom_surface,10734.0,30389,0.3519232300433397,0.016883956677785077,0.047839565705118915,0.00030474803874564035,-0.19994505528703105,0.3529287197517026
Case1,Element1,bottom_surface,13900.0,30389,0.4283366778880429,0.020545592091899347,0.047839565705118915,-0.0017709718793293286,-0.2711385020518208,0.4294686163863092
Case1,Element1,bottom_surface,18000.0,30389,0.5092996461888774,0.024424338108315517,0.047839565705118915,-0.0036636479467426278,-0.3356911334993593,0.510546819318263
Case1,Element1,lateral,10.0,14242,1.6739270257044442e-05,3.9556852463202076e-07,0.023940287671334656,4.319897209822564e-05,0.002223328689032023,1.6523131637455718e-05
Case1,Element1,lateral,13.0,14242,2.5603189607226372e-05,6.062095541218571e-07,0.023940287671334656,6.2658990638598e-05,0.0031927031633950664,2.532173223831864e-05
Case1,Element1,lateral,17.0,14242,4.030191809512735e-05,9.56102625861887e-07,0.023940287671334656,9.218044278034e-05,0.0046546174618089945,3.9936973147014196e-05
Case1,Element1,lateral,22.0,14242,6.348113685454276e-05,1.5086078528294629e-06,0.023940287671334656,0.00013295520396831438,0.006667425816943943,6.301544382174748e-05
Case1,Element1,lateral,28.0,14242,9.639139908137822e-05,2.2936517495193976e-06,0.023940287671334656,0.00018421891832814778,0.009196066803592626,9.580719250361155e-05
Case1,Element1,lateral,36.0,14242,0.00014834203799843075,3.533657718991949e-06,0.023940287671334656,0.0002541455398564001,0.012646463611862429,0.00014760297651824123
Case1,Element1,lateral,47.0,14242,0.00023342259616307998,5.565549127289586e-06,0.023940287671334656,0.00034989916520436275,0.017378432678125215,0.00023247628448314756
Case1,Element1,lateral,61.0,14242,0.00036178460981257964,8.632489095222576e-06,0.023940287671334656,0.00046788270561617446,0.02322484588839491,0.00036058418402210116
Case1,Element1,lateral,79.0,14242,0.000557240861768199,1.3304345896008298e-05,0.023940287671334656,0.0006103508177061757,0.030314703892437875,0.0005557304105388216
Case1,Element1,lateral,102.0,14242,0.0008523322708205886,2.0360086862060413e-05,0.023940287671334656,0.0007757123086571104,0.0385966592113533,0.0008504528910251542
Case1,Element1,lateral,133.0,14242,0.001323165691032578,3.162117686654178e-05,0.023940287671334656,0.0009692273171145502,0.04838690156376038,0.001320835292401435
Case1,Element1,lateral,172.0,14242,0.00201422366498155,4.815325001193733e-05,0.023940287671334656,0.0011716824474171494,0.05878449430595873,0.0020113897824876395
Case1,Element1,lateral,222.0,14242,0.00303129979389306,7.248893649960074e-05,0.023940287671334656,0.0013764746224959807,0.06954818059307445,0.0030279058253087202
Case1,Element1,lateral,288.0,14242,0.0045463093656349,0.00010874366751953479,0.023940287671334656,0.001575817851021591,0.08042507598517044,0.004542287419951976
Case1,Element1,lateral,373.0,14242,0.006700678882039427,0.00016030357443553092,0.023940287671334656,0.0017524667589111375,0.090667436345706,0.006695975279673576
Case1,Element1,lateral,483.0,14242,0.009718956753096418,0.00023254410133148544,0.023940287671334656,0.001898675307082643,0.10003436617471091,0.009713504888662069
Case1,Element1,lateral,625.0,14242,0.013869532844472912,0.00033189005002020423,0.023940287671334656,0.002012042262576262,0.10854440318935647,0.013863244025158431
Case1,Element1,lateral,810.0,14242,0.019514615160837002,0.00046701130772516905,0.023940287671334656,0.0021043934209426427,0.11696982995947422,0.01950733901515952
Case1,Element1,lateral,1048.0,14242,0.02714420804236798,0.0006496386634177284,0.023940287671334656,0.0021678448882942744,0.12504271095671005,0.027135791864171508
Case1,Element1,lateral,1358.0,14242,0.037460971327565595,0.0008965923985024107,0.023940287671334656,0.0022149149396064067,0.1336122160084789,0.037451195692020114
Case1,Element1,lateral,1758.0,14242,0.051267653003008395,0.0012270910352708687,0.023940287671334656,0.0022345055735271983,0.14219670533777026,0.05125631956127866
Case1,Element1,lateral,2276.0,14242,0.06968910454014675,0.0016680649894107908,0.023940287671334656,0.002195553224103221,0.14940276121852542,0.06967606289075963
Case1,Element1,lateral,2948.0,14242,0.09410534381429643,0.002252555810465549,0.023940287671334656,0.002027360328498964,0.15180538763339715,0.09409059078110779
Case1,Element1,lateral,3817.0,14242,0.12588348429301915,0.0030132972625235965,0.023940287671334656,0.0016299920357372858,0.14457628055982824,0.12586721195216144
Case1,Element1,lateral,4943.0,14242,0.1664640675023262,0.003984782487224977,0.023940287671334656,0.000867489293798268,0.12115343839448295,0.16644672536647206
Case1,Element1,lateral,6401.0,14242,0.21676385353785277,0.005188964277672468,0.023940287671334656,-0.00037900071412310765,0.07577339269941236,0.21674611219837472
Case1,Element1,lateral,8289.0,14242,0.27685059141915014,0.006627467137743001,0.023940287671334656,-0.0021453344893647306,0.006422580879357498,0.276833228937283
Case1,Element1,lateral,10734.0,14242,0.34570392881032797,0.008275861414876382,0.023940287671334656,-0.004315919447354801,-0.08207083419524004,0.345687634521854
Case1,Element1,lateral,13900.0,14242,0.42134560154271394,0.010086780445447195,0.023940287671334656,-0.006636005034786923,-0.1785578833822633,0.42133079534899603
Case1,Element1,lateral,18000.0,14242,0.5015812170806989,0.012007682115638246,0.023940287671334656,-0.008841325614592402,-0.2712027427448162,0.5015679961947936
Case1,Element1,support,10.0,3610,8.351238884007773e-06,1.0124564643562094e-08,0.001292434226442837,-2.6898583450929906e-05,-0.024729700570580722,7.833717520332083e-06
Case1,Element1,support,13.0,3610,1.277676462153883e-05,1.5623432285215104e-08,0.001292434226442837,-3.8780696699841635e-05,-0.035207536708507146,1.2088377083772712e-05
Case1,Element1,support,17.0,3610,2.0563613252402177e-05,2.5377257919410763e-08,0.001292434226442837,-5.742194779260883e-05,-0.05144881733851026,1.9635241314566946e-05
Case1,Element1,support,22.0,3610,3.41041512196835e-05,4.2466078607509026e-08,0.001292434226442837,-8.464896894428392e-05,-0.07494817201482941,3.2857438884443884e-05
Case1,Element1,support,28.0,3610,5.4896220933218596e-05,6.882891025256466e-08,0.001292434226442837,-0.00012026399051674475,-0.10553502910642693,5.325525186840825e-05
Case1,Element1,support,36.0,3610,9.033562603132953e-05,1.1394116525087025e-07,0.001292434226442837,-0.00017065841268558025,-0.14865499822956912,8.816012677447439e-05
Case1,Element1,support,47.0,3610,0.0001526992239029429,1.9358801375454885e-07,0.001292434226442837,-0.0002425728147550686,-0.21001962879076777,0.00014978558273511574
Case1,Element1,support,61.0,3610,0.0002525307268985125,3.2140064709084907e-07,0.001292434226442837,-0.0003362017356333296,-0.28975792410397794,0.00024867853273697276
Case1,Element1,support,79.0,3610,0.00041204777024904745,5.260067295504861e-07,0.001292434226442837,-0.0004588383085251923,-0.3940387269459891,0.0004069891672539599
Case1,Element1,support,102.0,3610,0.0006623121722548192,8.474640766121028e-07,0.001292434226442837,-0.0006184245105510678,-0.5295375543328247,0.0006557115706727883
Case1,Element1,support,133.0,3610,0.0010744985890891268,1.3775155650753558e-06,0.001292434226442837,-0.0008369939130789685,-0.7147933981269303,0.001065830304468714
Case1,Element1,support,172.0,3610,0.0016943816595744916,2.1753669737335758e-06,0.001292434226442837,-0.0011141584011444907,-0.9492462872425675,0.0016831548787754036
Case1,Element1,support,222.0,3610,0.0026241087075018084,3.3728641877157485e-06,0.001292434226442837,-0.0014686962365324952,-1.2484862001956145,0.0026096989066893353
Case1,Element1,support,288.0,3610,0.0040294432102460625,5.183951954550672e-06,0.001292434226442837,-0.0019316573069783395,-1.6383342788265376,0.00401099866321124
Case1,Element1,support,373.0,3610,0.006049303578593121,7.788045532816001e-06,0.001292434226442837,-0.0025198546014486654,-2.1325873459143097,0.006025873791853235
Case1,Element1,support,483.0,3610,0.008900376480871603,1.1464805130542776e-05,0.001292434226442837,-0.0032734227699982915,-2.7646966016681223,0.008870706838287102
